# sample_pigdata.txt
# 以下の数列は、各行が
# index: getdata(index)
# の形式になっている。
0: 46680
1: 40902
2: 43789
3: 51244
4: 61728
5: 39377
6: 49876
7: 2745
8: 38120
9: 16652
10: 13674
11: 6443
12: 30995
13: 45132
14: 21591
15: 19736
16: 49805
17: 18150
18: 14676
19: 10411
20: 55883
21: 37431
22: 47820
23: 52721
24: 39943
25: 24778
26: 47022
27: 50344
28: 13712
29: 4272
30: 30686
31: 26842
32: 60632
33: 9146
34: 48053
35: 36571
36: 7310
37: 5335
38: 4206
39: 33723
40: 7012
41: 21385
42: 9331
43: 42087
44: 53363
45: 29396
46: 24240
47: 23228
48: 8241
49: 25722
50: 44084
51: 30934
52: 39484
53: 33274
54: 25318
55: 3932
56: 13974
57: 5722
58: 20062
59: 27332
60: 49631
61: 55662
62: 60044
63: 49846
64: 10117
65: 10075
66: 51768
67: 44070
68: 4694
69: 57976
70: 36907
71: 41933
72: 41352
73: 14337
74: 22859
75: 28187
76: 17703
77: 37068
78: 21396
79: 36826
80: 65117
81: 48078
82: 42446
83: 32297
84: 35000
85: 50843
86: 53215
87: 56969
88: 1194
89: 48159
90: 2782
91: 31788
92: 63871
93: 30160
94: 2455
95: 24397
96: 29197
97: 8102
98: 49567
99: 18583
