# sample_sorted.txt
# 以下の数列は、各行が
# index: sorted(index)
# の形式になっている。
0: 1194
1: 2455
2: 2745
3: 2782
4: 3932
5: 4206
6: 4272
7: 4694
8: 5335
9: 5722
10: 6443
11: 7012
12: 7310
13: 8102
14: 8241
15: 9146
16: 9331
17: 10075
18: 10117
19: 10411
20: 13674
21: 13712
22: 13974
23: 14337
24: 14676
25: 16652
26: 17703
27: 18150
28: 18583
29: 19736
30: 20062
31: 21385
32: 21396
33: 21591
34: 22859
35: 23228
36: 24240
37: 24397
38: 24778
39: 25318
40: 25722
41: 26842
42: 27332
43: 28187
44: 29197
45: 29396
46: 30160
47: 30686
48: 30934
49: 30995
50: 31788
51: 32297
52: 33274
53: 33723
54: 35000
55: 36571
56: 36826
57: 36907
58: 37068
59: 37431
60: 38120
61: 39377
62: 39484
63: 39943
64: 40902
65: 41352
66: 41933
67: 42087
68: 42446
69: 43789
70: 44070
71: 44084
72: 45132
73: 46680
74: 47022
75: 47820
76: 48053
77: 48078
78: 48159
79: 49567
80: 49631
81: 49805
82: 49846
83: 49876
84: 50344
85: 50843
86: 51244
87: 51768
88: 52721
89: 53215
90: 53363
91: 55662
92: 55883
93: 56969
94: 57976
95: 60044
96: 60632
97: 61728
98: 63871
99: 65117
